UserId,UserName,Date,Location,PostId,TagId,TagName
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","93923","pulp"
"741099","Nyxynyx","2017-12-18 21:43:49","Boston","47876517","16","python"
"741099","Nyxynyx","2017-05-19 14:33:42","Boston","43708795","46426","node.js"
"741099","Nyxynyx","2017-06-14 00:01:13","Boston","44524095","111092","meteor-react"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","113234","redux"
"1888954","Phillip Huff","2017-05-17 17:20:28","Boston","43983897","71227","emr"
"741099","Nyxynyx","2017-01-11 02:02:46","Boston","39856084","16","python"
"741099","Nyxynyx","2017-01-11 10:22:19","Boston","12112188","1603","tomcat"
"3201696","ajmajmajma","2017-04-11 18:13:06","Boston","34438540","77812","superagent"
"741099","Nyxynyx","2017-10-01 14:31:44","Boston","25898784","78331","cordova"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","78022","angularjs"
"2285240","Ian Steffy","2017-07-28 13:24:41","Boston","45371831","78022","angularjs"
"741099","Nyxynyx","2017-05-09 09:16:17","Boston","42635809","97726","plotly"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","16","python"
"741099","Nyxynyx","2017-05-03 15:37:23","Boston","43743286","16","python"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","7979","matplotlib"
"741099","Nyxynyx","2017-04-23 21:07:41","Boston","43574757","1158","qt"
"741099","Nyxynyx","2017-05-09 09:16:17","Boston","42635809","111092","meteor-react"
"283296","Amelio Vazquez-Reina","2017-08-10 01:59:40","Boston","17977540","16","python"
"283296","Amelio Vazquez-Reina","2017-09-08 01:47:17","Boston","33657017","16","python"
"1335035","Magn3s1um","2017-10-19 15:36:36","Boston","46736978","118015","vsts-build-task"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","7979","matplotlib"
"283296","Amelio Vazquez-Reina","2017-05-16 21:54:25","Boston","25676145","16","python"
"456564","German Attanasio","2017-04-30 21:17:17","Boston, Massachusetts","33127958","22843","speech-to-text"
"4400697","nmusleh","2017-11-15 17:39:59","Boston","45130392","33388","amazon-web-services"
"7816373","Kevin","2017-08-02 21:51:07","Boston","45445180","16","python"
"741099","Nyxynyx","2017-04-01 12:33:04","Boston","43155211","997","plot"
"7578055","Gregory Palermo","2017-02-17 04:09:45","Boston","42287348","67746","rstudio"
"4179866","giuseppe","2017-09-29 09:39:32","Boston","26663573","7003","objective-c"
"1406210","Lance McCarthy","2017-02-02 23:36:27","Boston","40921005","9","c#"
"1406210","Lance McCarthy","2017-02-02 23:36:27","Boston","40921005","104707","xamarin.forms"
"456564","German Attanasio","2017-09-09 22:31:39","Boston, Massachusetts","46095284","99726","ibm-watson"
"741099","Nyxynyx","2017-07-20 01:28:29","Boston","33862317","112972","nolearn"
"741099","Nyxynyx","2017-07-26 14:54:38","Boston","20708442","820","jquery"
"2415684","jenesaisquoi","2017-08-30 09:39:24","Boston","33141630","1508","json"
"564157","Joseph Lust","2017-08-22 17:51:29","Boston","45548924","7965","jet"
"741099","Nyxynyx","2017-05-03 15:36:56","Boston","43713170","1508","json"
